3_68	GUT_GENOME027320_3_68
3_69	GUT_GENOME027320_3_69
3_70	GUT_GENOME027320_3_70
3_71	GUT_GENOME027320_3_71
3_72	GUT_GENOME027320_3_72
3_73	GUT_GENOME027320_3_73
3_74	GUT_GENOME027320_3_74
3_75	GUT_GENOME027320_3_75
3_76	GUT_GENOME027320_3_76
3_77	GUT_GENOME027320_3_77
3_78	GUT_GENOME027320_3_78
3_79	GUT_GENOME027320_3_79
3_80	GUT_GENOME027320_3_80
3_81	GUT_GENOME027320_3_81
3_82	GUT_GENOME027320_3_82
3_83	GUT_GENOME027320_3_83
3_84	GUT_GENOME027320_3_84
3_85	GUT_GENOME027320_3_85
3_86	GUT_GENOME027320_3_86
3_87	GUT_GENOME027320_3_87
3_88	GUT_GENOME027320_3_88
3_89	GUT_GENOME027320_3_89
3_90	GUT_GENOME027320_3_90
3_91	GUT_GENOME027320_3_91
3_92	GUT_GENOME027320_3_92
3_93	GUT_GENOME027320_3_93
3_94	GUT_GENOME027320_3_94
3_95	GUT_GENOME027320_3_95
3_96	GUT_GENOME027320_3_96
3_97	GUT_GENOME027320_3_97
3_98	GUT_GENOME027320_3_98
3_99	GUT_GENOME027320_3_99
3_100	GUT_GENOME027320_3_100
3_101	GUT_GENOME027320_3_101
3_102	GUT_GENOME027320_3_102
3_103	GUT_GENOME027320_3_103
3_104	GUT_GENOME027320_3_104
3_105	GUT_GENOME027320_3_105
3_106	GUT_GENOME027320_3_106
3_107	GUT_GENOME027320_3_107
3_108	GUT_GENOME027320_3_108
3_109	GUT_GENOME027320_3_109
3_110	GUT_GENOME027320_3_110
3_111	GUT_GENOME027320_3_111
3_112	GUT_GENOME027320_3_112
3_113	GUT_GENOME027320_3_113
3_114	GUT_GENOME027320_3_114
3_115	GUT_GENOME027320_3_115
3_116	GUT_GENOME027320_3_116
3_117	GUT_GENOME027320_3_117
3_118	GUT_GENOME027320_3_118
3_119	GUT_GENOME027320_3_119
3_120	GUT_GENOME027320_3_120
3_121	GUT_GENOME027320_3_121
3_122	GUT_GENOME027320_3_122
3_123	GUT_GENOME027320_3_123
3_124	GUT_GENOME027320_3_124
3_125	GUT_GENOME027320_3_125
3_126	GUT_GENOME027320_3_126
3_127	GUT_GENOME027320_3_127
3_128	GUT_GENOME027320_3_128
3_129	GUT_GENOME027320_3_129
3_130	GUT_GENOME027320_3_130
3_131	GUT_GENOME027320_3_131
3_132	GUT_GENOME027320_3_132
3_133	GUT_GENOME027320_3_133
3_134	GUT_GENOME027320_3_134
3_135	GUT_GENOME027320_3_135
3_136	GUT_GENOME027320_3_136
3_137	GUT_GENOME027320_3_137
3_138	GUT_GENOME027320_3_138
3_139	GUT_GENOME027320_3_139
3_140	GUT_GENOME027320_3_140
3_141	GUT_GENOME027320_3_141
3_142	GUT_GENOME027320_3_142
3_143	GUT_GENOME027320_3_143
3_144	GUT_GENOME027320_3_144
3_145	GUT_GENOME027320_3_145
3_146	GUT_GENOME027320_3_146
3_147	GUT_GENOME027320_3_147
3_148	GUT_GENOME027320_3_148
3_149	GUT_GENOME027320_3_149
3_150	GUT_GENOME027320_3_150
3_151	GUT_GENOME027320_3_151
3_152	GUT_GENOME027320_3_152
3_153	GUT_GENOME027320_3_153
3_154	GUT_GENOME027320_3_154
3_155	GUT_GENOME027320_3_155
3_156	GUT_GENOME027320_3_156
3_157	GUT_GENOME027320_3_157
3_158	GUT_GENOME027320_3_158
3_159	GUT_GENOME027320_3_159
3_160	GUT_GENOME027320_3_160
3_161	GUT_GENOME027320_3_161
3_162	GUT_GENOME027320_3_162
3_163	GUT_GENOME027320_3_163
4_1	GUT_GENOME027320_4_1
4_2	GUT_GENOME027320_4_2
4_3	GUT_GENOME027320_4_3
4_4	GUT_GENOME027320_4_4
4_5	GUT_GENOME027320_4_5
4_6	GUT_GENOME027320_4_6
4_7	GUT_GENOME027320_4_7
4_8	GUT_GENOME027320_4_8
4_9	GUT_GENOME027320_4_9
4_10	GUT_GENOME027320_4_10
4_11	GUT_GENOME027320_4_11
4_12	GUT_GENOME027320_4_12
4_13	GUT_GENOME027320_4_13
4_14	GUT_GENOME027320_4_14
4_15	GUT_GENOME027320_4_15
4_16	GUT_GENOME027320_4_16
4_17	GUT_GENOME027320_4_17
4_18	GUT_GENOME027320_4_18
4_19	GUT_GENOME027320_4_19
4_20	GUT_GENOME027320_4_20
4_21	GUT_GENOME027320_4_21
4_22	GUT_GENOME027320_4_22
4_23	GUT_GENOME027320_4_23
4_24	GUT_GENOME027320_4_24
4_25	GUT_GENOME027320_4_25
4_26	GUT_GENOME027320_4_26
4_27	GUT_GENOME027320_4_27
4_28	GUT_GENOME027320_4_28
4_29	GUT_GENOME027320_4_29
4_30	GUT_GENOME027320_4_30
4_31	GUT_GENOME027320_4_31
4_32	GUT_GENOME027320_4_32
4_33	GUT_GENOME027320_4_33
4_34	GUT_GENOME027320_4_34
4_35	GUT_GENOME027320_4_35
4_36	GUT_GENOME027320_4_36
4_37	GUT_GENOME027320_4_37
4_38	GUT_GENOME027320_4_38
4_39	GUT_GENOME027320_4_39
4_40	GUT_GENOME027320_4_40
4_41	GUT_GENOME027320_4_41
4_42	GUT_GENOME027320_4_42
4_43	GUT_GENOME027320_4_43
4_44	GUT_GENOME027320_4_44
4_45	GUT_GENOME027320_4_45
4_46	GUT_GENOME027320_4_46
4_47	GUT_GENOME027320_4_47
4_48	GUT_GENOME027320_4_48
4_49	GUT_GENOME027320_4_49
4_50	GUT_GENOME027320_4_50
4_51	GUT_GENOME027320_4_51
4_52	GUT_GENOME027320_4_52
4_53	GUT_GENOME027320_4_53
4_54	GUT_GENOME027320_4_54
4_55	GUT_GENOME027320_4_55
4_56	GUT_GENOME027320_4_56
4_57	GUT_GENOME027320_4_57
4_58	GUT_GENOME027320_4_58
4_59	GUT_GENOME027320_4_59
4_60	GUT_GENOME027320_4_60
4_61	GUT_GENOME027320_4_61
4_62	GUT_GENOME027320_4_62
4_63	GUT_GENOME027320_4_63
4_64	GUT_GENOME027320_4_64
4_65	GUT_GENOME027320_4_65
4_66	GUT_GENOME027320_4_66
4_67	GUT_GENOME027320_4_67
4_68	GUT_GENOME027320_4_68
4_69	GUT_GENOME027320_4_69
4_70	GUT_GENOME027320_4_70
4_71	GUT_GENOME027320_4_71
4_72	GUT_GENOME027320_4_72
4_73	GUT_GENOME027320_4_73
4_74	GUT_GENOME027320_4_74
4_75	GUT_GENOME027320_4_75
4_76	GUT_GENOME027320_4_76
4_77	GUT_GENOME027320_4_77
4_78	GUT_GENOME027320_4_78
4_79	GUT_GENOME027320_4_79
4_80	GUT_GENOME027320_4_80
4_81	GUT_GENOME027320_4_81
4_82	GUT_GENOME027320_4_82
4_83	GUT_GENOME027320_4_83
4_84	GUT_GENOME027320_4_84
4_85	GUT_GENOME027320_4_85
4_86	GUT_GENOME027320_4_86
4_87	GUT_GENOME027320_4_87
4_88	GUT_GENOME027320_4_88
4_89	GUT_GENOME027320_4_89
4_90	GUT_GENOME027320_4_90
4_91	GUT_GENOME027320_4_91
4_92	GUT_GENOME027320_4_92
4_93	GUT_GENOME027320_4_93
4_94	GUT_GENOME027320_4_94
4_95	GUT_GENOME027320_4_95
4_96	GUT_GENOME027320_4_96
4_97	GUT_GENOME027320_4_97
4_98	GUT_GENOME027320_4_98
4_99	GUT_GENOME027320_4_99
4_100	GUT_GENOME027320_4_100
4_101	GUT_GENOME027320_4_101
4_102	GUT_GENOME027320_4_102
4_103	GUT_GENOME027320_4_103
4_104	GUT_GENOME027320_4_104
4_105	GUT_GENOME027320_4_105
4_106	GUT_GENOME027320_4_106
4_107	GUT_GENOME027320_4_107
4_108	GUT_GENOME027320_4_108
4_109	GUT_GENOME027320_4_109
4_110	GUT_GENOME027320_4_110
4_111	GUT_GENOME027320_4_111
4_112	GUT_GENOME027320_4_112
4_113	GUT_GENOME027320_4_113
4_114	GUT_GENOME027320_4_114
4_115	GUT_GENOME027320_4_115
4_116	GUT_GENOME027320_4_116
4_117	GUT_GENOME027320_4_117
4_118	GUT_GENOME027320_4_118
4_119	GUT_GENOME027320_4_119
4_120	GUT_GENOME027320_4_120
4_121	GUT_GENOME027320_4_121
4_122	GUT_GENOME027320_4_122
4_123	GUT_GENOME027320_4_123
4_124	GUT_GENOME027320_4_124
4_125	GUT_GENOME027320_4_125
4_126	GUT_GENOME027320_4_126
4_127	GUT_GENOME027320_4_127
4_128	GUT_GENOME027320_4_128
4_129	GUT_GENOME027320_4_129
4_130	GUT_GENOME027320_4_130
4_131	GUT_GENOME027320_4_131
4_132	GUT_GENOME027320_4_132
4_133	GUT_GENOME027320_4_133
4_134	GUT_GENOME027320_4_134
4_135	GUT_GENOME027320_4_135
4_136	GUT_GENOME027320_4_136
4_137	GUT_GENOME027320_4_137
4_138	GUT_GENOME027320_4_138
4_139	GUT_GENOME027320_4_139
4_140	GUT_GENOME027320_4_140
4_141	GUT_GENOME027320_4_141
4_142	GUT_GENOME027320_4_142
4_143	GUT_GENOME027320_4_143
4_144	GUT_GENOME027320_4_144
4_145	GUT_GENOME027320_4_145
4_146	GUT_GENOME027320_4_146
4_147	GUT_GENOME027320_4_147
4_148	GUT_GENOME027320_4_148
4_149	GUT_GENOME027320_4_149
4_150	GUT_GENOME027320_4_150
5_1	GUT_GENOME027320_5_1
5_2	GUT_GENOME027320_5_2
5_3	GUT_GENOME027320_5_3
5_4	GUT_GENOME027320_5_4
